Registration number,Course ID,Grade,Semester ending date
E/16/097,ME514,B,2/10/2023
E/16/097,EM527,C,3/8/2023
E/16/097,ME326,B-,12/9/2021
E/16/097,ME508,D+,2/10/2023
E/16/097,ME502,C-,3/8/2023
E/16/097,ME302,A-,12/9/2021
E/16/097,CE301,C,3/29/2022
E/16/097,EM213,C+,11/26/2019
E/16/097,CE202,C,7/8/2022
E/16/097,EE280,C+,11/26/2019
E/16/097,ME324,B,12/9/2021
E/16/097,ME211,D+,11/26/2019
E/16/097,ME223,B-,4/9/2021
E/16/097,ME325,B+,12/9/2021
E/16/097,ME209,C+,4/9/2021
E/16/097,ME213,C,11/26/2019
E/16/097,ME323,C,3/29/2022
E/16/097,ME211,C,7/8/2022
E/16/097,PR408,C-,3/8/2023
E/16/097,ME321,B-,3/29/2022
E/16/097,EM212,A+,9/4/2021
E/16/097,ME205,B-,4/9/2021
E/16/097,EE281,B,4/9/2021
E/16/097,CE201,B-,11/26/2019
E/16/097,CE207,C,4/9/2021
E/16/097,ME301,B,3/29/2022
E/16/097,CE309,C+,3/29/2022
E/16/097,ME420,B,3/8/2023
E/16/097,CE202,D+,11/26/2019
E/16/097,EM211,B,11/26/2019
E/16/098,CE207,C+,4/9/2021
E/16/098,ME209,A-,4/9/2021
E/16/098,EE280,B,11/26/2019
E/16/098,ME514,A-,2/10/2023
E/16/098,ME324,B,12/9/2021
E/16/098,ME321,B,3/29/2022
E/16/098,CE301,C+,3/29/2022
E/16/098,CE201,C+,11/26/2019
E/16/098,ME325,B,12/9/2021
E/16/098,EM213,C+,11/26/2019
E/16/098,ME501,A,2/10/2023
E/16/098,ME302,A-,12/9/2021
E/16/098,PR311,B,12/9/2021
E/16/098,EM527,A,3/8/2023
E/16/098,PR408,B+,3/8/2023
E/16/098,CE304,B,12/9/2021
E/16/098,ME301,B,3/29/2022
E/16/098,EM211,A+,11/26/2019
E/16/098,ME326,B-,12/9/2021
E/16/098,ME505,B,12/9/2021
E/16/098,ME205,B+,4/9/2021
E/16/098,EM212,A+,9/4/2021
E/16/098,ME223,B,4/9/2021
E/16/098,CE202,C+,11/26/2019
E/16/098,PR409,A-,2/10/2023
E/16/098,ME213,C,11/26/2019
E/16/098,ME329,B-,3/8/2023
E/16/098,ME420,B-,3/8/2023
E/16/098,ME502,B,3/8/2023
E/16/098,ME211,C-,11/26/2019
E/16/098,EE281,B-,4/9/2021
E/16/098,ME323,B-,3/29/2022
E/16/098,CE309,C+,3/29/2022
E/16/102,EE280,B+,11/26/2019
E/16/102,CE301,C,3/29/2022
E/16/102,ME211,B-,11/26/2019
E/16/102,EM211,A+,11/26/2019
E/16/102,EE281,B-,4/9/2021
E/16/102,PR311,B-,12/9/2021
E/16/102,ME213,B,11/26/2019
E/16/102,PR409,A,2/10/2023
E/16/102,ME321,B,3/29/2022
E/16/102,ME420,B,3/8/2023
E/16/102,EM527,B+,2/10/2023
E/16/102,ME501,A,2/10/2023
E/16/102,ME302,A-,12/9/2021
E/16/102,CE202,C+,11/26/2019
E/16/102,CE304,A-,12/9/2021
E/16/161,CE309,B,3/29/2022
E/16/161,CE202,B-,11/26/2019
E/16/161,ME502,A,3/8/2023
E/16/161,ME508,B,2/10/2023
E/16/161,PR311,B,12/9/2021
E/16/161,ME324,B,12/9/2021
E/16/161,ME420,B+,3/8/2023
E/16/161,CE301,B-,3/29/2022
E/16/161,CE207,B+,4/9/2021
E/16/161,EE280,A,11/26/2019
E/16/161,PR409,B+,2/10/2023
E/16/161,ME223,B,4/9/2021
E/16/161,EM212,A+,9/4/2021
E/16/161,EM211,A,11/26/2019
E/16/161,ME213,B,11/26/2019
E/16/161,EM527,A-,3/8/2023
E/16/161,CE304,B+,12/9/2021
E/16/161,PR408,B,3/8/2023
E/16/161,ME211,B,11/26/2019
E/16/161,ME501,A-,2/10/2023
E/16/161,ME209,B+,4/9/2021
E/16/165,ME326,B,12/9/2021
E/16/165,ME205,B,4/9/2021
E/16/165,EM212,A+,9/4/2021
E/16/165,ME514,A-,2/10/2023
E/16/165,CE309,C+,3/29/2022
E/16/165,CE207,B,4/9/2021
E/16/165,ME323,B-,3/29/2022
E/16/165,ME223,C+,4/9/2021
E/16/165,ME209,A,4/9/2021
E/16/165,ME301,D+,3/29/2022
E/16/165,PR408,C,3/8/2023
E/16/165,CE301,D,3/29/2022
E/16/165,PR521,A,2/10/2023
E/16/165,PR311,C+,12/9/2021
E/16/165,EE280,B+,11/26/2019
E/16/165,ME302,B+,12/9/2021
E/16/165,CE202,A-,11/26/2019
E/16/165,EE594,C+,3/8/2023
E/16/165,ME301,D+,9/19/2022
E/16/165,CE201,C+,11/26/2019
E/16/165,EE281,A-,4/9/2021
E/16/165,ME518,C,12/9/2021
E/16/165,ME211,B,11/26/2019
E/16/165,ME420,A,3/8/2023
E/16/165,CE304,B-,12/9/2021
E/16/165,ME213,A+,11/26/2019
E/16/165,PR409,B+,2/10/2023
E/16/165,ME321,C,3/29/2022
E/16/165,EM213,A,11/26/2019
E/16/165,EM526,A-,3/8/2023
E/16/165,EM211,B+,11/26/2019
E/16/165,ME515,A,3/8/2023
E/16/165,CE301,C,9/19/2022
E/16/165,ME325,A,12/9/2021
E/16/171,CE304,B+,12/9/2021
E/16/171,PR311,C+,12/9/2021
E/16/171,EM213,A-,11/26/2019
E/16/171,CE201,D+,11/26/2019
E/16/171,CE201,C,7/8/2022
E/16/171,EE281,B+,4/9/2021
E/16/171,CE309,B,3/29/2022
E/16/171,ME329,A-,3/8/2023
E/16/171,ME420,B+,3/8/2023
E/16/171,ME302,A-,12/9/2021
E/16/171,ME211,D,11/26/2019
E/16/171,ME514,B,2/10/2023
E/16/171,ME301,C,3/29/2022
E/16/171,ME325,A+,12/9/2021
E/16/171,ME213,B+,11/26/2019
E/16/171,ME323,B-,3/29/2022
E/16/171,PR409,B,2/10/2023
E/16/171,ME205,B,4/9/2021
E/16/171,EM527,A,12/9/2021
E/16/171,ME211,C,7/8/2022
E/16/171,ME321,C-,3/29/2022
E/16/171,ME223,C+,4/9/2021
E/16/171,ME502,A-,3/8/2023
E/16/171,EM211,A,11/26/2019
E/16/171,ME324,B+,12/9/2021
E/16/171,EE280,C,11/26/2019
E/16/171,EM524,B-,2/10/2023
E/16/171,CE301,B-,3/29/2022
E/16/171,EM212,A+,9/4/2021
E/16/171,ME209,B,4/9/2021
E/16/171,PR408,C+,3/8/2023
E/16/171,CE202,C,11/26/2019
E/16/171,CE207,B-,4/9/2021
E/16/171,PR521,B+,2/10/2023
